file_path,identifier,error,duration_ms
C:\Users\dnicolau\Desktop\images\053A7A8C-403E-4457-93F9-6C95271FB47F.jpg,053A7A8C-403E-4457-93F9-6C95271FB47F,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16602.5
C:\Users\dnicolau\Desktop\images\112CDD47-AF83-40E8-9FBD-5DD0F8AAA71C.jpg,112CDD47-AF83-40E8-9FBD-5DD0F8AAA71C,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16581.0
C:\Users\dnicolau\Desktop\images\142F98D4-361B-4D8D-B2AF-1B8B7D875733.jpg,142F98D4-361B-4D8D-B2AF-1B8B7D875733,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16400.6
C:\Users\dnicolau\Desktop\images\1664B632-7DDD-4FDC-882F-7785B4EB2745.jpg,1664B632-7DDD-4FDC-882F-7785B4EB2745,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16230.4
C:\Users\dnicolau\Desktop\images\1FD88E41-81B9-4A4A-B274-3428FD2D1080.jpg,1FD88E41-81B9-4A4A-B274-3428FD2D1080,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16689.9
C:\Users\dnicolau\Desktop\images\22054BBF-AB41-4A68-961C-1612FF40B2FC.jpg,22054BBF-AB41-4A68-961C-1612FF40B2FC,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15230.2
C:\Users\dnicolau\Desktop\images\26955965-348A-482E-99B7-A120A999F7A6.jpg,26955965-348A-482E-99B7-A120A999F7A6,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16539.8
C:\Users\dnicolau\Desktop\images\28A201E1-F0DC-4EF9-BD0A-323B00D9E1AA.jpg,28A201E1-F0DC-4EF9-BD0A-323B00D9E1AA,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15860.8
C:\Users\dnicolau\Desktop\images\2D908AAB-4A88-4895-8728-6FC610F6FCF9.jpg,2D908AAB-4A88-4895-8728-6FC610F6FCF9,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15562.3
C:\Users\dnicolau\Desktop\images\3B8D96F6-3567-428B-8BEE-0F7B2BF3EDF6.jpg,3B8D96F6-3567-428B-8BEE-0F7B2BF3EDF6,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15597.7
C:\Users\dnicolau\Desktop\images\3EEDAF7F-FE75-47B3-9ABC-5CF2F8C06285.jpg,3EEDAF7F-FE75-47B3-9ABC-5CF2F8C06285,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15718.8
C:\Users\dnicolau\Desktop\images\40FAACCD-1D9A-4691-ADB6-BC6054F12EBD.jpg,40FAACCD-1D9A-4691-ADB6-BC6054F12EBD,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16286.0
C:\Users\dnicolau\Desktop\images\46DF12A0-5C82-4445-80FD-934CFD1F452D.jpg,46DF12A0-5C82-4445-80FD-934CFD1F452D,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15305.7
C:\Users\dnicolau\Desktop\images\47D51D27-EF5B-421E-AE17-B3A34D3B85BD.jpg,47D51D27-EF5B-421E-AE17-B3A34D3B85BD,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15027.1
C:\Users\dnicolau\Desktop\images\4E975EEE-840D-494B-AF4C-D3F39C52057C.jpg,4E975EEE-840D-494B-AF4C-D3F39C52057C,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15071.8
C:\Users\dnicolau\Desktop\images\5343CB29-1255-4CA3-BB75-D61578AEC949.jpg,5343CB29-1255-4CA3-BB75-D61578AEC949,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15851.9
C:\Users\dnicolau\Desktop\images\54C3EC18-BEF9-46EF-BF15-2965006E0187.jpg,54C3EC18-BEF9-46EF-BF15-2965006E0187,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16303.4
C:\Users\dnicolau\Desktop\images\59DABDAD-C7DA-4E57-927A-1B17F2AA8B79.jpg,59DABDAD-C7DA-4E57-927A-1B17F2AA8B79,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15455.6
C:\Users\dnicolau\Desktop\images\63C2A35B-7FDD-4D74-A373-32F57D4871E0.jpg,63C2A35B-7FDD-4D74-A373-32F57D4871E0,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16487.2
C:\Users\dnicolau\Desktop\images\702FACDF-192F-4513-80B2-0747126AC3F9.jpg,702FACDF-192F-4513-80B2-0747126AC3F9,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15518.2
C:\Users\dnicolau\Desktop\images\75ADB0BC-2608-431C-BF40-8F6E8E26FA1C.jpg,75ADB0BC-2608-431C-BF40-8F6E8E26FA1C,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15367.9
C:\Users\dnicolau\Desktop\images\77C681DC-F217-490C-82B1-17791D2FC7F9.jpg,77C681DC-F217-490C-82B1-17791D2FC7F9,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16476.0
C:\Users\dnicolau\Desktop\images\8352164B-0BE3-4C0F-8BBF-57C42F587C49.jpg,8352164B-0BE3-4C0F-8BBF-57C42F587C49,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",14631.0
C:\Users\dnicolau\Desktop\images\960E2F82-CCC8-4A20-8354-F193978F29CC.jpg,960E2F82-CCC8-4A20-8354-F193978F29CC,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15677.1
C:\Users\dnicolau\Desktop\images\972EE742-622B-4EA8-B595-BCAC6F7BC44A.jpg,972EE742-622B-4EA8-B595-BCAC6F7BC44A,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15957.6
C:\Users\dnicolau\Desktop\images\A930043E-CCA6-4CCE-BA99-F9D3F96037B0.jpg,A930043E-CCA6-4CCE-BA99-F9D3F96037B0,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",15930.3
C:\Users\dnicolau\Desktop\images\B86868CF-97B0-4752-8D1B-8A9A9830676C.jpg,B86868CF-97B0-4752-8D1B-8A9A9830676C,"http_500:{""error"":""Error"",""message"":""Database enrollment failed""}",16565.8
